season,lg,team,abbreviation,playoffs,age,w,l,pw,pl,mov,sos,srs,o_rtg,d_rtg,n_rtg,pace,f_tr,x3p_ar,ts_percent,e_fg_percent,tov_percent,orb_percent,ft_fga,opp_e_fg_percent,opp_tov_percent,drb_percent,opp_ft_fga,arena,attend,attend_g
2024,NBA,Atlanta Hawks,ATL,0,26.2,36.0,46.0,36.0,46.0,-2.18,-0.19,-2.38,117.2,119.4,-2.2,100.1,0.251,0.408,0.576,53.900000000000006,11.6,27.1,20.0,0.572,12.4,75.2,0.192,State Farm Arena,696418.0,16986.0
2024,NBA,Boston Celtics,BOS,1,28.2,64.0,18.0,66.0,16.0,11.34,-0.6,10.75,123.2,111.6,11.6,97.2,0.224,0.471,0.609,57.8,10.8,24.9,18.0,0.523,10.8,76.3,0.145,TD Garden,785396.0,19156.0
2024,NBA,Brooklyn Nets,BRK,0,26.1,32.0,50.0,34.0,48.0,-2.89,-0.13,-3.02,113.2,116.1,-2.9,96.9,0.234,0.412,0.561,53.1,11.8,25.2,17.7,0.543,11.4,76.0,0.193,Barclays Center,720291.0,17568.0
2024,NBA,Chicago Bulls,CHI,0,28.1,39.0,43.0,37.0,45.0,-1.44,-0.33,-1.77,114.9,116.3,-1.4,96.3,0.236,0.358,0.568,53.400000000000006,11.0,25.1,18.7,0.556,12.7,76.4,0.195,United Center,845620.0,20625.0
2024,NBA,Charlotte Hornets,CHO,0,25.1,21.0,61.0,18.0,64.0,-10.24,0.13,-10.12,109.3,119.8,-10.5,97.3,0.212,0.391,0.56,52.900000000000006,12.6,21.1,16.7,0.572,12.3,74.5,0.188,Spectrum Center,674400.0,16449.0
2024,NBA,Cleveland Cavaliers,CLE,1,26.2,48.0,34.0,47.0,35.0,2.41,-0.44,1.98,115.2,112.7,2.5,97.2,0.234,0.422,0.586,55.7,12.4,23.2,17.9,0.535,12.3,76.9,0.19,Rocket Mortgage Fieldhouse,793167.0,19432.0
2024,NBA,Dallas Mavericks,DAL,1,26.5,50.0,32.0,46.0,36.0,2.21,0.09,2.3,117.6,115.4,2.2,100.1,0.251,0.441,0.592,56.2,11.2,22.2,19.0,0.548,12.1,75.2,0.184,American Airlines Center,828897.0,20217.0
2024,NBA,Denver Nuggets,DEN,1,27.1,57.0,25.0,54.0,28.0,5.26,-0.03,5.23,118.5,113.0,5.5,96.8,0.224,0.352,0.589,56.2,11.5,25.5,17.0,0.526,11.2,75.6,0.195,Ball Arena,807062.0,19684.0
2024,NBA,Detroit Pistons,DET,0,23.8,14.0,68.0,20.0,62.0,-9.11,0.05,-9.06,109.7,118.8,-9.1,99.8,0.246,0.36,0.562,52.6,13.5,23.9,19.3,0.558,11.1,77.3,0.221,Little Caesars Arena,726378.0,18159.0
2024,NBA,Golden State Warriors,GSW,0,28.4,46.0,36.0,47.0,35.0,2.61,0.16,2.77,117.8,115.2,2.6,99.2,0.219,0.425,0.586,55.7,12.5,27.5,17.1,0.539,11.5,76.1,0.195,Chase Center,740624.0,18064.0
